RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT,RACE_TEXT,ECON1MOD_LLM,UNITY_LLM,GPT1_LLM,MOREGUNIMPACT_LLM,GAMBLERESTR_LLM
2.0,1.0,1.0,1.0,1.0,20240222.0,20240222,1.0,10.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,2.0,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,1.0,4.0,1.0,6.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,6.0,1.0,1.1651053515302612,4.877291002782219,"Not Hispanic, Black",2,2,1,1,2
4.0,1.0,1.0,1.0,1.0,20240220.0,20240220,1.0,10.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,12.0,3.0,2.0,6.0,6.0,3.0,2.0,1.0,4.0,99.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,1.0,3.0,7.0,1.0,0.7767369010201741,2.325334468798309,"Hispanic, White",2,2,2,1,2
8.0,1.0,1.0,1.0,1.0,20240203.0,20240203,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,3.0,2.0,6.0,6.0,1.0,7.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,2.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,,9.0,1.0,2.0,1.0,0.7767369010201741,0.7461367001220842,"Not Hispanic, White",2,2,1,1,2
13.0,2.0,1.0,1.0,,,20240429,1.0,10.0,4.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.7767369010201741,0.4176971617454243,"Not Hispanic, White",2,2,2,1,2
16.0,2.0,1.0,,,,20240425,1.0,10.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,99.0,1.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,3.0,1.0,2.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57.0,3.0,1.0,1.0,6.0,6.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,0.7767369010201741,0.5466898509129716,"Not Hispanic, White",2,2,2,2,2
18.0,1.0,1.0,1.0,1.0,20240206.0,20240206,1.0,7.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,99.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,35.0,2.0,1.0,2.0,6.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.1283001904335133,0.1824553853022822,"Hispanic, White, Black, American Indian or Alaska Native",2,2,2,1,2
20.0,2.0,1.0,1.0,,,20240514,1.0,10.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,89.0,4.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,99.0,3.0,5.0,1.0,1.5534738020403482,0.7647588406700703,"Not Hispanic, White",2,2,2,2,2
21.0,2.0,1.0,,,,20240425,1.0,10.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,6.0,3.0,7.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,2.0,4.0,2.0,2.3302107030605224,3.3300465651860782,"Not Hispanic, White",2,2,2,2,2
22.0,2.0,1.0,1.0,,,20240430,1.0,10.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,6.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.0,3.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,2.0,9.0,3.0,5.0,1.0,2.3302107030605224,2.036757330768611,"Not Hispanic, White",2,2,1,2,2
25.0,1.0,1.0,1.0,1.0,20240209.0,20240209,1.0,10.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.0,4.0,4.0,2.0,5.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,0.388368450510087,0.3326207487607455,"Not Hispanic, White",2,2,2,1,2
